vest_ID,election_ID
10 Pavilion7257,10A Pavilion
22-11903,22-1
West Bolivar3604,West Bolivar
1-1 Spring City North7351,1-1 Spring City North
9-19811,1-Sep
10-41847,4-Oct
Culleoka5969,Culleoka 8-2
1B Chilhowee Middle Sch. Gym7153,1B Chilhowee
34-41956,34-4
LaFollette Elementary School0607,2-3 LaFollette ES
Love Chapel8902,Love Chapel
30 Grace Fellowship Church9317,30 Grace
10-31846,3-Oct
24-Q4833,24Q Sequoyah Hills
Miser Station0421,Miser Station
08 New Union Fire Hall1508,8 New Union
Centerview1403,Centerview
603 Waterville School0513,6-3 Waterville
08F Cornerstone Middle7269,8F Cornerstone
Broad Street School6352,2
D - Millsfield2358,D1- Millsfield
1-1 Union County High School9003,1-1 UCHS
6-1 South Side High School5682,6-1 South Side
Woody1724,7 Woody
764818,76 Sunnyview
15 Grace Baptist Church1515,15 Grace Baptist
Rockford0406,Rockford
1 Somerville2465,Somerville City
564890,56 Heiskell
06-1 Justice Center4209,6-1 Justice Center
26-21923,26-2
04A Burks Middle School7262,4A Burks
Court House0906,Courthouse
106454,10 Minglewood
Orchard View7459,Orchard View
Edwina1409,Edwina
4-1 Evensville South7356,4-1 Evensville South
9-4 Grace Chapel Church9731,4-Sep
33-31950,33-3
2-2 Grainger High School2958,2-Feb
6-13256,1-Jun
5-2 Vo-Tech4109,5-2 TN Tech Center
Stuart Heights3376,198 Stuart Heights
Norwood0020,Norwood
Ottway3080,1 Ottway
2 Adamsville6151,Adamsville 2-1
12 North City School6054,North City
Middleton3605,Middleton
"6-2 Cassville School, County9601",6-2 Cassville
29-41935,29-4
8-1 Old Chestnut Hill School4609,8-1 Chestnut Hill
8 Elba2453,Elba
05 Rogers Creek School6058,Rogers Creek
Caryville0602,4-1 Caryville
8 Boones Creek West9336,08 B.C. West
Belfast5853,3 Belfast
McKnight Center5859,9 McKnight Center
Memphis 67-38178,Memphis 67-3
11-2 Robert Ring Indoor Soccer Complex9736,2-Nov
12-11854,1-Dec
3-2 New Tazewell1206,3-2 New Tazewell
2-1 Spring City South7353,2-1 Spring City South
Fayetteville CPC5363,6-1 Fayetteville CPC
4-1 Helenwood7752,4-1 Helenwood
2-1 Henry4108,2-1 Henry
8-2 Estill Springs2668,8-2 Estill Springs
16-1 Central Magnet School7683,16-1
8-1 New Prospect5158,08-1 New Prospect
5-1 TN Technology Center4004,5-5 TN Tech Center
Collierville 78074,Collierville 07
Cosby1410,Cosby
3-4 RIVES6761,3-4 Rives
364880,36 Gresham
254831,25 South Knox CC
5 Rogersville South Outside3815,5 Rogersville So Out
William Blount High0417,William Blount HS
13 Stratton9325,13 Stratton
Oak Hill1716,4 Oak Hill
4-1 Civic Center4011,4-6 Civic Center
Wartburg 3-16654,3-1 Wartburg
Rockwood Ward 27472,Rockwood Ward 2
23-21908,23-2
1-5 The Church of Spring Hill9742,5-Jan
14-11863,14-1
Greenback5456,Greenback
Morning Sun 018262,Morning Sun 01
7 Michie6157,Michie 7-1
101 Wartrace Baptist Church0101,1-1 Wartrace
Rock Creek8906,Rock Creek
26-31924,26-3
166470,16 New Providence
Memphis 668176,Memphis 66
24-61917,24-6
Coalfield 1-16651,1-1 Coalfield
25-21919,25-2
16 Lions Club1516,16 Lion's Club
Tyner 13309,046 Tyner 1
Memphis 45-48139,Memphis 45-4
Chilhowee View0425,Chilhowee View
Recreation Center5855,5 Recreation Center
11 Indian Trail9324,11 Indian Trail
Central0902,Central
09 Dresden First United Methodist Church9504,9A Dresden
Underwood 17970,8-3 Underwood
Eads8081,Eads
1 Livingston6853,1 Livingston
Valley Forge0911,Valley Forge
Morning Sun 028263,Morning Sun 02
Theta5952,Theta 6-3
25-11918,25-1
16-3 Lane Agri-Park7685,16-3
301 Lee University0509,3-1 Lee University
15-31870,15-3
12-2 Smyrna Elementary School7676,2-Dec
23-31909,23-3
Westside0701,1-1 Westside
8 North3705,North 8-1
Beech Grove0410,Beech Grove
5-1 HC High School4105,5-1 Henry Co High
Memphis 95-58255,Memphis 95-5
"5-1 Doyle Civic Center Hall, County9603",5-1 Doyle Civic
7-1 North Lake2665,7-1 North Lake
902 Southside School0111,9-2 Southside
7C8509,7C
7-2 Winchester Springs & Center Grove2666,7-2 CG/Winchester Springs
Valley View0604,1-4 Valley View
9-3 Three Way City Meeting Room5670,9-3 Three Way
10-23262,2-Oct
12A Algood Inside7252,12A Algood Inside
126457,12 Ringgold
Townsend0401,Townsend
4-3 Festivities Events Place5675,4-3 Festivities
854814,85 Skaggston
Senior Citizens 27962,5-2 Senior Center
4-1 Jackson Chapel2260,1-Apr
Neapolis5971,Neapolis 5-2
Emory Valley0009,Emory Valley
Memphis 95-18252,Memphis 95-1
1103 Millersville Community Center8625,11-3 Millersville
9-1 Restoration Church2264,1-Sep
Signal Mountain 23402,200 Signal Mountain 2
Memphis 46-28141,Memphis 46-2
High School0905,High School
7-1 Pomona Baptist Church2255,1-Jul
Tiger Valley0918,Tiger Valley
Madisonville Primary School6356,6
5-1 White Bluff Civic Center2261,1-May
2-1 Westover4005,2-15 Westover
3-1 Russwood4112,3-1 Russwood
Memphis 81-78222,Memphis 81-7
23-41910,23-4
9B8524,9B
Jacksboro Station0611,3-2 Jacksboro Sta
DuPont3335,189 DuPont
8-4 Crescent Church of Christ7668,4-Aug
03 Greenfield First Baptist Church9507,3A Greenfield
08 Martin First United Methodist Church9505,8A Martin FUMC
Cornersville5852,4 Cornersville
403 Cottontown Fire Hall8627,4-3 Cottontown
164883,16 Larry Cox Sr Center
Loudon Outside5452,Loudon Outside
176466,17 Grace
5-1 Cedar Grove Elementary School7659,1-May
864815,86 Carter
B - Newbern2353,B- Newbern
65-N4845,65N Concord North
Henry Horton State Park5851,2 Henry Horton Park
Lawnville7452,Lawnville
Snowhill 13362,170 Snowhill 1
Pomona1719,8 Pomona
Louisville0423,Louisville
Spring Hill Middle5970,Spring Hill MS 6-2
05C Prescott South7267,5C Prescott South
Kingston Ward 27462,Kingston Ward 2
16-31875,16-3
Catlettsburg 27966,7-2 Catlettsburg
Oak Street0412,Oak Street
4-1 West Chester School1102,4-1 West Chester
11A Bangham7253,11A Bangham
7-1 West Oneida7757,7-1 West Oneida
Maryville Municipal0414,Maryville Municipal
501 First Baptist Gallatin8609,5-1 FB Gallatin
Bigbyville5968,Bigbyville 9-1
6-1 Harrogate1204,6-1 Harrogate
Waldens Creek 27959,2-2 Waldens Creek
1101 Beech High School Annex8624,11-1 Beech
24-19831,24-1
11B8523,11B
24 Henry Johnson9320,24 Henry Johnson
101 McDonald Ruritan0501,1-1 McDonald
5 Boones Creek East9332,05 B.C. East
35-41961,35-4
Memphis 67-18177,Memphis 67-1
Lanier0418,Lanier
7-1 Arthur1201,7-1 Arthur
Memphis 91-28242,Memphis 91-2
6 Courthouse SE6156,Courthouse SE 6-1
3-2 White House Heritage HS7553,03-2 Heritage
02 Gleason Community Building9502,2A Gleason
4-1 West Cheatham Elementary1002,4-1 West Cheatham
Lincoln Community Center5369,8-1 Lincoln
Germantown 088091,Germantown 08
Westside0904,Westside
25-31920,25-3
25-19832,25-1
Memphis 95-88258,Memphis 95-8
444855,44 Ridgedale
2 Harmony9340,02 Harmony
8-1 Garrison7360,8-1 Garrison
Concord 43342,181 Concord 4
29 Fairhaven Inside9315,29 Fairhaven Inside
Glen Alpine0011,Glen Alpine
1-1 Tazewell1210,1-1 Tazewell
07 Martin Shepardsfield Church9509,7A Martin Shepherd's
Lakeland 28097,Lakeland 02
14-21864,14-2
Fairmount3371,067 Fairmount
11-1 Westside School7567,11-1 Westside
34-51957,34-5
186463,18 Hazelwood
31-31942,31-3
Porter0429,Porter
Chapel Hill5854,1 Chapel Hill
22-21904,22-2
514836,51 Deane Hill Rec Ctr
19-19825,19-1
502 Guild Elementary8608,5-2 Guild
34-11953,34-1
8 Civic Center0805,Civic Center
Heritage0424,Heritage
6-1 TROY SENIOR CENTER6760,6-1 Troy Sr Ctr
11-1 Smyrna Middle School7673,1-Nov
Fairview0433,Fairview
04 Englewood School6051,Englewood
8-3 Lebanon Campground Church7667,3-Aug
6-1 Coopertown Middle School7557,06-1 Coopertown
6th Rush Strong School4607,6 Rush Strong
Brunswick 18065,Brunswick 01
Loudon5453,Loudon
Memphis 96-28079,Memphis 96-2
Memphis 648174,Memphis 64
13-31861,13-3
604811,60 Fort Sumter
Memphis 68-38180,Memphis 68-3
Memphis 44-18133,Memphis 44-1
4th Jefferson Elementary School4602,4 Jefferson ES
Lake City Middle School0016,Lake City MS
East Ridge 33313,055 East Ridge 3
Andersonville0001,Andersonville
Complex 21704,2 Complex 2
Ganns3352,070 Ganns
5-13255,1-May
Roan Mountain0915,Roan Mountain
13-1 Bellwood-Bowdoin Pre-School7677,13-1
3-3 Jones Chapel4103,3-3 Jones Chapel
Maryville Junior High0404,Maryville Jr High
Memphis 81-18217,Memphis 81-1
Collierville 88075,Collierville 08
6C8508,6C
06A Cane Creek7264,6A Cane Creek
15-11868,15-1
East Ridge 43327,056 East Ridge 4
04 Sharon First Baptist Church9506,4A Sharon
602 Gallatin Sr. High School8618,6-2 Gallatin HS
Middle Valley 13429,188 Middle Valley 1
20-31898,20-3
934823,93 Hopewell
Germantown 068090,Germantown 06
Gap Creek0917,Gap Creek
3-3 Chapman's Retreat Elementary School9711,3-Mar
Doak3069,3 Doak
"3-1 Ag Fair Complex, County9607",3-1 Ag Fair Complex
7-1 Frazier7359,7-1 Frazier
11 McMinn Courthouse6052,Courthouse
35-11958,35-1
4-1 Masonic Temple Lodge #455676,4-1 Masonic Lodge
9-1 Walnut Grove Elementary School9728,1-Sep
8-1 Grassland Middle School9725,1-Aug
Memphis 80-28216,Memphis 80-2
10-1 First Baptist Church2265,1-Oct
Soddy Daisy 23334,084 Soddy Daisy 2
5-2 Pegram City Hall1007,5-2 Pegram
1001 Walton Ferry Elementary8621,10-1 Walton Ferry
Prospect0405,Prospect
21B6462,21B Hilldale
11-2 StewartsboroElementary School7674,2-Nov
Debusk3059,5 Debusk
4C8514,4C
Carpenters0434,Carpenters
1A6467,1A St B ES
Unicoi8904,Unicoi
7-1 Jo Byrns Elementary School7559,07-1 Jo Byrns
1-1 LaVergne Lake Elementary School7651,1-Jan
Memphis 81-38219,Memphis 81-3
Memphis 55-28154,Memphis 55-2
502 Flat Creek Community Center0106,5-2 Flat Creek
6-1 Broad Street4003,6-8 Broad Street
Claxton0004,Claxton
18-2 Riverdale High School7690,18-2
Memphis 548152,Memphis 54
Armory5953,Armory 7-1
Clinton0005,Clinton
"7-1 Northfield School, County9604",7-1 Northfield
Collierville 58072,Collierville 05
9-1 Robertson County Fair Assoc.7564,09-1 Fair Assoc.
06 Riceville School6057,Riceville
J-N Dyersburg2366,J- North Dyersburg
Caton's Chapel 17953,1-1 Caton's Chapel
John Sevier0430,John Sevier
11-1 Franklin Elementary School9735,1-Nov
146465,14 Glenellen
Election Commission6355,5
1-1 FC Annex2651,1-1 Annex
23-11907,23-1
3 Carter's Valley3808,3 Carter's Valley
Vonore Elementary School6354,4
464838,46 1st Nazarene
8B8525,8B
Cordova 38076,Cordova 03
First Family5960,First Family 2-1
ARL-028052,Arlington 02
Bakewell 23329,183 Bakewell 2
5B8512,5B
Tusculum View3063,3 Tusculum View
Memphis 91-18241,Memphis 91-1
Wearwood 27958,2-1 Wearwood
15-19820,15-1
Tansi1722,5 Tansi
Chuckey Doak3072,2 Chuckey Doak
554853,55 Lonas
Westview 13387,064 Westview 1
1-1 SOUTH FULTON6751,1-1 South Fulton
Bull Run0003,Bull Run
7-13257,1-Jul
7-2 OBION CO. LIBRARY6752,7-2 Obion Co Library
7 Gray West9338,07 Gray West
15-2 Northfield Elementary School7682,15-2
07A Burgess Falls7263,7A Burgess Falls
Tellico Village North5465,Tellico V. North
11-11850,1-Nov
601 Valley View School0511,6-1 Valley View
9th Talbott Elementary School4610,9 Talbott School
02A Northeast Elementary7255,2A Northeast
East Ridge 13314,053 East Ridge 1
7th New Market City Hall4608,7 New Market
Bartlett 068057,Bartlett 06
10-3 North Side High School5669,10-3 North Side
14-13265,14-1
Hunter0908,Hunter
9-2 Benton Hall School9729,2-Sep
2-5 Conduit Church9743,5-Feb
22-31905,22-3
Glenwood3084,7 Glenwood
4 Rickman6857,4-2 Rickman
10-1 South Haven Christian School7565,10-1 South Haven
1-1 Cheatham Co Library1004,1-1 County Library
02 Etowah Community Center6064,Etowah
13-2 Cason Lane Academy7678,13-2
Sequoyah High School6357,7
6-19807,1-Jun
203 Wiseman Elementary8613,2-2 Wiseman
2-3 Oakview Elementary School9707,3-Feb
22-19829,22-1
10-1 Rock Springs Elementary School7671,1-Oct
12-1 Franklin Community of Faith Church9738,1-Dec
Oak View0402,Oakview
Blount County Board of Education0403,Board of Education
Hixson 33354,101 Hixson 3
21-2 BlackFox Elementary School7696,21-2
10B8505,10B
702 Cleveland High0507,7-2 Cleveland High
303 Uniounville Fire Hall0104,3-3 Unionville
6A6460,6A Cumberland
1-11801,1-Jan
744885,74 Shannondale
12-13263,1-Dec
10-3 Hunter's Bend Elementary School9734,3-Oct
Alcoa High School0408,Alcoa
8-13258,1-Aug
2-1 Bethesda Recreation Center9705,1-Feb
3-2 Old Jefferson Church of Christ7655,2-Mar
20A6469,20A Clarksville
Boyd's Creek 27967,10-1 Boyds Creek
7-1 New Heights Chapel7663,1-Jul
11 Macon2456,Macon
East Brainerd 13384,017 East Brainerd 1
2C8516,2C
10 Lakeridge9333,10 Lakeridge
Mt. Pleasant5961,Mt. Pleasant 10-1
Red Bank 33351,078 Red Bank 3
894829,89 Mt. Olive
16-19822,16-1
Lenoir City5460,Lenoir City
01A Capshaw7266,1A Capshaw
19-2 New Vision Baptist Church7692,19-2
Ooltewah 13361,060 Ooltewah 1
5th Jefferson Middle School4606,5 Jefferson Middle
7-2 Baptist Children's Home9723,2-Jul
Bartlett 118060,Bartlett 11
17-19823,17-1
4-19804,1-Apr
Chuckey3073,2 Chuckey
1-2 Fairview Recreation Center9702,2-Jan
Browder5462,Browder
3-2 Longview Recreation Center9710,2-Mar
8-19810,1-Aug
34-31955,34-3
Westview 23386,091 Westview 2
Harrison 33381,098 Harrison 3
Memphis 91-48080,Memphis 91-4
13-13264,13-1
10-2 Lifepoint Church7672,2-Oct
Germantown 108093,Germantown 10
Bartlett 138063,Bartlett 13
63-N4849,63N Karns North
Collierville 28069,Collierville 02
19-1 Creekmont General Baptist Church7691,19-1
Jasper5754,Jasper
624844,62 Hardin Valley
4A6461,4A MCMS
403 Bedford Community Center0105,4-3 Bedford
6-3 Holy Family Catholic Church9721,3-Jun
2-19802,1-Feb
101 Westmoreland Middle8632,1-1 Westmoreland
20  Visitor's Center9327,20 Visitor's Center
5-1 Sunset Elementary School9715,1-May
69-W4896,69W A. L. Lotts
2-1 Clark Memorial2652,2-1 Clark Memorial
Germantown 038087,Germantown 03
Harrisburg 27954,3-2 Harrisburg
203 Fairhaven Baptist Church0103,2-3 Fair Haven
6-2 Brentwood Safety Center9720,2-Jun
Tellico Community Center6361,11
Apison 13347,050 Apison 1
10-19814,1-Oct
31-41943,31-4
9 Boones Creek City9334,09 B.C. City
2nd Piedmont Elementary School4601,2 Piedmont
58-S4891,58S Pedigo
12-3 The Gate Community Church9740,3-Dec
Mosheim3082,6 Mosheim
5-3 Triune Baptist Church9717,3-May
Maryville High School0420,Maryville HS
3A8503,3A
03 S.E. Covington8705,2-3 SE Covington
Brunswick 28066,Brunswick 02
10-2 North East School5668,10-2 North East
East Brainerd 23311,104 East Brainerd 2
1-1 Westwood Elementary School9701,1-Jan
103 Corinth Church of Christ8636,1-3 Corinth
1A8504,1A
09B Double Springs7265,9B Double Springs
CP Church5957,CP Church 5-1
602 Blue Springs School0515,6-2 Blue Springs
Mountain Creek 13350,033 Mountain Creek 1
Dallas 13339,185 Dallas 1
Collierville 68073,Collierville 06
202 Portland High School8614,2-1 Portland
1-19801,1-Jan
2A6464,2A St B MC
69-N4840,69N West Valley
Bartlett 038054,Bartlett 03
801 Brown Elementary8619,8-1 Brown
4-3 Oakland Middle School7658,3-Apr
684850,68 South Cedar Bluff
1st Dandridge Elementary School4604,1 Dandridge ES
7B8518,7B
17 Towne Acres9330,17 Town Acres
4-41820,4-Apr
01 City Park School6060,City Park
11-21851,2-Nov
Gatlinburg 27956,11-1 Gatlinburg
Millington 28261,Millington 02
Signal Mountain 13365,207 Signal Mountain 1
Kingston Ward 17456,Kingston Ward 1
21 W. Wilkinsville8701,8-21 Wilkinsville
13-19818,13-1
501 Blythe/Bower School0514,5-1 Blythe/Bower
474837,47 Bearden High
5-1 Greenbrier High School7555,05-1 Greenbrier
802 Hawkins Middle School8631,8-2 Hawkins
19 Austin Peay8703,7-19 Austin Peay
2B8517,2B
1-1 East Robertson Elementary School7551,01-1 East Robertson
69-S4839,69S Northshore
23-19830,23-1
Bear Creek5966,Bear Creek 8-1
Happy Valley0901,Happy Valley
Tellico Village South5464,Tellico V. South
Hixson 23355,088 Hixson 2
Sweetwater High School6351,1
4B8515,4B
5-4 Nolensville Baptist Church9718,4-May
10-1 Franklin Recreation Complex9732,1-Oct
8-3 Episcopal Church9727,3-Aug
Pleasant Heights5964,Pleasant Heights 9-2
Harrison 23341,090 Harrison 2
15-1 John Pittard Elementary7681,15-1
3 Gray East9335,03 Gray East
103 Hopewell School0517,1-3 Hopewell
Middle School 27963,5-1 Sevierville
Lookout Valley 13326,048 Lookout Valley 1
2-1 Lascassas Elementary School7698,1-Feb
12-21855,2-Dec
374879,37 Inskip Elementary
5-2 Nolensville Methodist Church9716,2-May
14-19819,14-1
Bartlett 048055,Bartlett 04
14 Southwest Tipton8706,6-14 SW Tipton
3-1 Leanna Church of Christ7654,1-Mar
4-1 Watauga Elementary School7554,04-1 Watauga
Birchwood3322,051 Birchwood
1 Mount Carmel3809,1 Mount Carmel
2-1 Robert F. Woodall Elementary School7552,02-1 Woodall
7 Hickory White2452,Hickory Withe
08 Niota School6053,Niota
4-3 Franklin Christian Church9714,3-Apr
9-1 VFW5680,9-1 VFW
Bartlett 058056,Bartlett 05
Memphis 578157,Memphis 57
11-3 Winstead Elementary School9737,3-Nov
22 Brighton8702,9-22 Brighton
6-1 Harpeth High School1006,6-1 Harpeth
Snowhill 23359,179 Snowhill 2
2-2 Wilson Elementary School7653,2-Feb
Cornerstone Baptist Church1705,1 Cornerstone
844808,84 Ritta
18-19824,18-1
904824,90 South Doyle
6-2 Christiana Middle School7662,2-Jun
Fairfield Glade North1708,9 Fairfield North
9-2 Pope Elementary School5681,9-2 Pope
Collierville 98271,Collierville 09
Camp Creek3052,4 Camp Creek
2-1 East Cheatham Elementary1001,2-2 East Cheatham
Ooltewah 43363,205 Ooltewah 4
Millington 18260,Millington 01
4-2 Millview Church of Christ9713,2-Apr
401 Oak Grove School0512,4-1 Oak Grove
454854,45 Bearden Middle
9-2 Browns Chapel Elementary School7670,2-Sep
4-1 Prairie Life Fitness Center9712,1-Apr
St. Catherine5956,St. Catherine 4-1
4-11817,1-Apr
35-31960,35-3
7-3 New Hope Community Church9724,3-Jul
69-E4807,69E Bluegrass
303 Creekside Fellowship8607,3-3 Creekside
Collierville 38070,Collierville 03
8-1 Rockvale Middle School7665,1-Aug
Highland Park5458,Highland Park
1102 Church of the Nazarene8623,11-2 Goodlettsville
Soddy Daisy 13328,083 Soddy Daisy 1
Kodak 17969,8-1 Kodak
724888,72 Dante
Eagleton Cafeteria0431,Eagleton MS Cafeteria
901 Hendersonville High School8603,9-1 Hendersonville
2A8501,2A
7A8519,7A
Germantown 118094,Germantown 11
Germantown 028086,Germantown 02
3-19803,1-Mar
644846,64 Solway
06 Tipton West8704,3-6 Tipton West
6 Sulphur Springs9339,06 Sulphur Springs
5-19806,1-May
Bartlett 098053,Bartlett 09
301 Gallatin Civic Center8635,3-1 Civic Center
3-1 Pleasant View City Hall1003,3-1 Pleasant View
9-1 Stewarts Creek Elementary School7669,1-Sep
14-1 Siegel Middle School7679,14-1
Collierville 48071,Collierville 04
6-1 Whitworth-Buchannan Middle School7661,1-Jun
01 Medina2751,1-1 Medina
Pleasant Grove 13353,075 Pleasant Grove 1
Fairfield Glade South1709,9 Fairfield South
1002 Merrol Hyde Magnet School8633,10-2 Merrol Hyde
Stewartville8270,Stewartville
2-2 Thompson Station Baptist Church9706,2-Feb
12 Munford8707,5-12 Munford
7-2 Barfield Elementary School7664,2-Jul
3rd White Pine School4603,3 White Pine
8-2 First Presbyterian Church9726,2-Aug
674852,67 North Cedar Bluff
70-W4847,70W Ball Camp
Germantown 058089,Germantown 05
302 Senior Center0506,3-2 Senior Center
15 Courthouse9310,15 Courthouse
2 Church Hill Inside3825,2 Church Hill Inside
603 Jack Anderson Elementary8602,6-3 Jack Anderson
76455,7 Woodlawn
202 Walker Valley High0505,2-2 Walker Valley
6B8521,6B
6-1 Brentwood Library9719,1-Jun
3-1 Heritage Elementary School9709,1-Mar
Germantown 048088,Germantown 04
701 Stuart School0502,7-1 Stuart
12-2 The Church of the City-Franklin9739,2-Dec
5A8513,5A
10A8522,10A
20-2 Blackman High School7694,20-2
1201 Oakmont Elementary8612,12-1 Oakmont
1203 White House Middle School8626,12-3 White House
9-3 Westhaven Clubhouse9730,3-Sep
14-2 Siegel Elementary School7680,14-2
Eatons5463,Eaton
402 Michigan Ave School0508,4-2 Michigan Ave
401 Howard Elementary School8611,4-1 Howard
196471,19 Oakland
9A8511,9A
Seymour Primary Sch. 27965,9-1 Seymour Primary
11-19815,1-Nov
714835,71 Rocky Hill
20-1 Blackman United Methodist Church7693,20-1
Bartlett 088058,Bartlett 08
Collierville 18068,Collierville 01
701 Whitten Elementary8622,7-1 Whitten
Montvale0427,Montvale
70-E4828,70E Amherst
6 Oakland2451,Oakland
Spring Hill5951,Spring Hill 11-2
102 Prospect School0516,1-2 Prospect
156468,15 Sango
ARL-018051,Arlington 01
902 Indian Lake Elementary8620,9-2 Indian Lake
8A8510,8A
11 Atoka8709,4-11 Atoka
7-1 Brenthaven Church9722,1-Jul
William Blount Academy0419,Wm Blount Academy
65-E4841,65E Shoreline
594887,59 Brickey
Seymour Intm.Sch. 27968,6-1 Seymour
11A8506,11A
601 Vol State College8601,6-1 Vol State
634848,63 Karns
Lakeland 18096,Lakeland 01
65-W4897,65W Concord
Pigeon Forge 27957,4-1 Pigeon Forge
36453,3 East Montgomery
201 E.L. Ross School0504,2-1 E.L. Ross
703 Long Hollow Baptist Church8628,7-3 Long Hollow
814812,81 Gibbs
6A8520,6A
734892,73 Powell
4A8502,4A
66-S4842,66S Farragut II
66-N4805,66N Farragut I
614886,61 Halls
