G16PRERTru_x,G16PREDCli_x,G16PREIDeL_x,G16PRELJoh_x,join_col
427,48,0,6,27 Skullbone2766
427,84,0,11,81611
427,968,0,80,24-51916
428,77,1,11,Long Creek1401
429,89,0,14,2 Hermitage Springs1307
429,104,0,4,6-2 OBION6758
430,110,1,15,5 Rogersville North Inside3814
431,64,0,7,Catlettsburg 17973
434,72,1,11,13-2 Grace Baptist Center1513
434,100,0,8,3-1 South East Lawrence5153
434,348,0,62,26-41925
435,78,1,6,3-15253
436,126,1,9,7 City Justice Center7857
437,97,3,7,2-15251
437,168,1,10,High School7051
438,103,1,5,5 Cedar Grove0804
438,140,0,9,3 Courthouse6252
438,142,1,11,12 Bruceton0803
438,450,0,8,10 Haywood Junior High3905
440,86,0,3,Temple Hill8903
440,1147,1,50,9-11841
440,1190,4,47,Memphis 44-58136
441,89,0,4,8th Parsons2058
442,58,1,7,26 Union Central2765
442,69,0,7,1-3 Buchanan4107
442,73,1,9,Siam0909
442,191,0,18,774821
442,194,2,8,16 Atwood0817
443,154,0,10,4th Decaturville2052
443,520,2,25,Lucy 38099
444,142,1,15,Central1416
445,54,2,11,Bellview0301
445,97,4,15,784819
445,170,4,22,Rockwood Ward 17471
447,51,0,10,4B Butler4702
447,112,0,7,Emory7461
447,228,0,12,10 Tennessee College of Applied Technology6056
448,60,1,5,8-1 Rogers Mill1217
448,74,2,7,4-15252
450,60,0,7,6 Alumwell3812
451,73,1,8,4A Dry Run4709
451,130,2,19,1-4 Burwood Community Center9704
451,720,4,74,4-21818
452,534,2,55,15-41871
453,87,1,9,Clinton Middle School0007
453,133,3,15,Midtown7463
454,115,1,11,Limestone Cove8907
455,104,0,4,Lafayette Elementary School5560
455,334,3,17,Hardison School5857
455,827,3,13,McConnells8100
455,1858,2,138,18-31887
456,133,0,11,Dunbar2054
457,353,3,35,Concord 23304
458,108,1,12,5 Motlow College6555
458,108,1,28,Middle Valley 23417
458,161,1,21,03-2 Smartt First Baptist Church9205
458,176,2,6,6-1 Alto/Oak Grove2662
458,178,0,8,1-2 Beaver4002
459,110,0,11,6B6473
461,61,1,11,Rigsby0312
461,185,0,14,I - Community Center2364
461,201,0,8,05 Tibbs Fire Station3906
465,445,3,51,344882
465,589,1,83,Riverview3348
466,84,0,10,Del Rio1404
466,138,1,15,2 Trezevant0801
467,90,1,7,5-15255
467,97,4,9,Pine Haven2555
468,137,0,5,1 Bethel Springs6158
469,185,3,10,04B Monterey High School7273
469,565,2,53,28 South Side9319
470,137,2,5,07-3 Brushy4210
471,77,1,10,3A Cooper Basin High School7155
471,284,1,39,Concord 13315
472,124,0,30,Falling Water3423
473,80,0,7,4-3 Liberty2658
473,97,3,17,4 Elementary School6552
473,108,1,10,3B Turtletown7161
473,131,0,16,Altamont3153
474,129,0,16,21-29828
475,82,1,5,5-1 Leoma School Gym5155
475,245,2,9,17 Senior Citizens0808
475,271,0,15,8-1 Decherd2667
476,445,3,24,20-19826
478,100,0,5,1 Dentons Cross Roads1303
478,281,1,3,06 Wyatt-Duke National Guard Armory3915
479,118,2,8,02-2 Warren County Airport9203
480,39,0,6,Midway0921
481,556,3,60,Missionary Ridge3336
482,102,1,10,9-1 Pocahontas Community Center1522
482,477,5,32,5A6459
483,88,1,10,Rural Vale Fire Dept6360
483,94,1,8,Edgemont1412
484,72,0,9,5-1 Big Spring Union1203
486,87,2,16,2 Cagle7855
486,162,1,20,1-1 Indian Mound8404
487,124,0,9,West End1415
488,65,2,2,7 Ovilla Fire Hall9407
488,116,0,11,Ozone-Pineview1717
488,138,4,6,8-2 H.A.T.S7561
490,374,4,24,601 East Side School0108
491,79,1,8,4 Rose Creek6152
491,84,1,14,36 West View9306
491,242,1,17,4-13251
492,341,3,26,3-4 MLEC4403
492,582,5,59,22-41906
493,159,0,21,Harrison 43404
493,195,1,19,21-19827
493,581,1,58,Brainerd Hills3316
494,94,0,6,3-2 KENTON6757
494,94,0,13,Paw Paw7453
495,98,0,22,Vonore Community Center6358
496,115,3,11,7-2 Stroudsville Church of Christ7558
496,434,7,46,Robertsville0023
497,132,4,16,Ridgewood0613
497,139,1,23,3-1 Bumpus Mills8403
497,532,1,43,11-41853
499,168,1,9,Lusk0308
499,1034,2,73,31-21941
500,105,1,10,8-2 Vanbebber Springs1208
501,438,1,22,4-2 City Hall4104
503,81,3,6,Forest Hill1414
504,125,1,12,19 Leesburg9311
505,111,3,13,Marlow0017
506,74,1,5,4 Collinwood City9411
506,125,0,14,13-1 Blanton's Chapel Community Center1512
507,101,1,16,3 Moore County Building6553
507,109,1,13,Demory0615
508,125,1,6,5 Ramer6155
508,157,0,11,20 CourtHouse2762
508,167,0,17,6-1 Burns Church of Christ2252
510,83,2,14,5 Morris Chapel3717
511,119,1,10,Westside Elementary School5555
513,375,1,45,27 Keystone9322
514,112,1,14,9 Courthouse3703
514,240,3,20,Woodbury0705
515,84,0,5,6 Shady4706
515,116,1,8,2 McPheeter's Bend3803
515,203,1,11,7 Church of Christ Annex2156
515,205,2,52,7-19808
516,126,1,21,Voting Machine Whse. 27964
516,1379,9,44,28-11929
517,81,3,17,4 Rogersville North Outside3820
517,149,0,16,9 Fredonia7856
518,117,1,18,Pellissippi Campus0436
519,123,4,27,Lenoir City Outside5461
519,345,3,10,7B Recreation Center2864
520,77,1,8,I - Hurricane Hill2365
520,117,0,12,8-1 Krisle School7562
520,192,2,17,10-11844
522,267,0,21,Recreation Center5357
523,121,0,7,Big Lick1702
523,306,1,42,10B Sycamore7258
524,80,0,6,Cross Roads Community Center5556
525,524,4,32,324872
526,145,3,7,Smoky Mountain1405
526,148,2,8,5-1 Greenbrier Church of Christ1005
526,150,1,11,4 North Selmer6167
527,227,0,10,3 North East Selmer6153
527,272,4,21,06-1 Caney Fork Electric Auditorium9209
528,88,0,16,2 Moore County High School6551
528,155,2,6,40 Rutherford2773
528,179,1,5,1B Prospect2851
528,248,0,8,2 Fayette Corner2461
529,142,2,12,6-3 UTSI2664
529,226,1,9,Kimball5755
530,868,5,73,24-21913
531,86,0,17,Tinchtown2561
531,151,0,11,14-1 Crawfish Valley5164
532,99,0,7,A - Fowlkes2352
532,200,1,29,23 Woodland9313
532,696,2,42,Murray Hills 13301
533,175,0,10,"2-1 Ag Fair Complex, City9611"
533,531,3,32,11-31852
534,98,2,13,24 Moore's Chapel2764
535,167,0,6,2-2 Mansfield4102
535,219,1,24,Harold McCormick0912
536,71,0,6,2 Nixon3708
536,288,3,22,1-13252
537,167,0,10,4 Meigs North6255
539,82,1,11,Davis5455
539,116,0,22,11-13267
539,153,2,12,32 Bradford2774
540,192,3,20,7-1 Cumberland City8407
541,89,2,11,02 Sitka Community Center2752
542,95,1,8,Bakers1701
542,185,5,13,East LaFollette0608
543,93,0,7,10-13261
543,117,1,12,Fairview0010
543,147,1,16,Northport1407
543,177,0,23,4-1 Kittrell Elementary School7656
546,761,1,92,North Chattanooga 13310
546,1184,0,135,25-41921
547,97,0,11,Community Center2557
547,111,1,35,924822
550,91,0,12,Banner2552
550,152,0,15,1A Polk County High School7152
550,463,0,29,4-2 North Boulevard Church of Christ7657
551,180,3,18,Middle School3066
552,108,0,8,E - Finley2359
553,344,3,47,394802
553,716,1,100,Moccasin Bend3415
554,577,1,74,68-E4851
555,90,2,11,9-2 Waldens Ridge7362
555,145,1,18,6-2 Capitol Hill2663
555,169,0,19,Pittman Center 17951
556,136,0,14,Renfro7468
556,157,2,15,11-2 Hwy 56 N Church of Christ9219
557,158,0,18,1 Delano Lions Club7151
559,93,0,12,3-2 Montezuma1103
559,127,0,15,Boonshill Community Center5352
559,139,3,14,Red Boiling Springs High School5551
559,735,5,21,Memphis 89-18236
561,98,0,11,Nolachuckey3053
561,136,0,10,Central5051
561,193,2,3,13 Fruitland2759
562,137,1,20,8 Lone Oak7852
562,141,1,18,2-1 Big Rock8401
565,744,3,77,Brainerd3390
566,146,0,9,5B Agri-Park2860
567,164,1,17,2-1 Eno Community Center2256
567,183,2,15,08 Elmwood8307
568,70,1,6,5-2 Winfield7755
568,1347,5,58,29-21933
571,109,2,14,4-4 Springdale1215
571,124,2,14,Calvary Baptist Fellowship Hall5361
571,142,0,9,1-2 Sylvia Baptist Church2262
571,147,0,6,3-2 Huntland2654
571,148,0,22,4-1 Family Life Center8402
573,94,1,6,3 Wilson6858
573,145,4,5,Gruetli3163
573,199,1,14,10-1 Centertown United Methodist Church9216
574,352,2,46,Maryville College0432
574,580,2,19,3-1 Madison Co Board of Ed.5677
575,98,1,13,Campbell County High School0610
576,107,1,14,1A Laurel4704
576,184,1,25,5-1 Dayton North7357
578,73,1,11,3-1 Wolf Creek7354
578,188,6,20,6-1 Dayton West7358
578,338,3,20,Lucy 18098
579,109,2,9,1B Cold Springs4708
583,88,3,11,C - Trimble2356
583,160,0,16,1-1 Alexandria2158
583,191,1,15,2-2 TN City Fire Hall2257
583,397,1,35,Northgate 13408
584,143,1,14,1-1 Bargerton4001
584,176,3,14,5-2 County Complex2157
584,2040,0,54,3-41814
585,1528,3,131,24-11912
586,245,3,25,5-1 Visitors Center8405
587,163,1,21,Lantana1712
587,674,6,43,26 North Side9321
589,154,1,20,06 Tennessee Vocational Center1506
591,85,0,9,6 Clarksburg0812
591,127,3,9,Allardt2553
591,151,0,16,Walland0426
594,340,1,13,2 Lake County Courthouse4952
596,98,0,10,8-3 Mifflin Road Fire Station5665
596,177,0,22,06 Humboldt Ch of Chr2754
597,108,0,13,4-2 Washburn Ele. School2951
598,199,0,13,17-1 Sowell5167
598,1020,1,35,Memphis 89-28237
598,1054,7,61,136458
599,102,1,10,01B Latham Vol. Fire Dept.9503
599,242,1,4,14 Parks2460
600,103,1,12,3-4 Pin Oak Fire Station #44007
602,138,1,10,3A Richland Trace Market2855
602,237,4,15,"1-1 Sparta Civic Center, City9608"
602,788,8,54,12-31856
603,653,2,21,Cordova 48077
603,1224,2,29,Memphis 87-48064
605,110,1,13,Flintville Fire Hall5367
606,114,1,12,2-3 Oakland4113
606,133,2,18,10-1 Howards5160
606,139,1,15,5-1 Bean Station Library2960
607,99,1,14,2-2 Luttrell Elementary School9002
607,287,2,18,2-13253
608,1811,1,102,Memphis 028102
609,396,0,42,4B6472
610,215,1,16,Jellico0621
611,62,2,10,6 Southgate Fire Hall9412
611,116,4,10,3-2 Evensville North7355
611,968,4,43,Memphis 53-18149
614,233,1,32,18 First Christian Church1518
614,2141,1,39,Memphis 87-38231
615,198,5,13,1-2 Compassion Church4404
615,1951,5,103,Memphis 16-18107
616,250,1,12,02-3 East Bank4204
618,107,3,16,1 Lewis Chapel7851
619,104,1,16,1 Eastview6253
619,211,1,23,07 South Carthage8306
620,971,7,67,27-11926
621,117,2,8,01A Palmersville Fire Station9501
621,219,1,19,8-2 Browns United Methodist Church5667
621,269,1,15,Pleasant Hill1718
622,125,2,10,3-1 Huntsville7753
622,146,2,9,38 South Central9303
622,195,4,19,6-1 County Library8406
622,447,4,51,414803
623,125,1,20,Linary1713
623,155,4,23,Brown Elementary School6353
623,190,0,24,9-5 Independence High School9741
623,259,2,33,04-1 TSU Nursery Res. Center9206
624,156,0,16,3-1 Broadview2653
625,216,2,27,8-2 Eagleville Community Center7666
628,269,3,24,01-1 Civic Center9201
630,129,1,10,7-1 Plainview Community Center9007
631,115,0,21,1 Fall Branch9312
631,515,3,11,Ripley 35057
633,236,4,36,02-1 Courthouse9202
633,373,2,37,Ooltewah 23398
633,441,3,61,274827
634,194,0,16,2-1 EDDIE COX SR. CENTER6756
636,367,0,37,Northwoods 13399
637,433,4,17,7-2 TN Technology Center5657
638,112,0,14,37 Lamar9308
638,134,0,14,3 Wallace3811
639,122,1,17,Philadelphia5454
639,261,3,24,01 Ada Right Center1501
639,465,3,45,12-1 TN National Guard Armory7675
641,61,0,5,Oakdale High 2-16652
641,73,1,9,Hampton0916
641,173,1,12,Sequatchie5762
641,1054,1,32,5-3 North Parkway School5655
642,186,1,24,05A Cookeville Community Center7261
643,307,2,47,Everett0413
644,128,1,11,Central Elementary School5559
644,205,1,19,31 Milan Muni Bldg2770
644,231,1,19,3-11811
645,145,1,13,FNB Community Room5360
646,334,0,32,502 5 Points Museum0510
647,284,3,24,20 Coffee County Senior Citizens1520
648,98,1,13,Vandever1723
648,149,1,14,18-1 E.O. Coffman5168
648,185,3,12,10 Fairground3704
648,750,5,73,25 Millennium Centre9318
649,78,2,15,Coker Creek School6362
649,210,0,9,5 Hilham6851
650,106,1,8,D-Bogota2357
651,140,0,18,DuPont 27960
651,175,3,31,794820
651,228,0,25,1-1 Collier House2263
651,643,1,90,Red Bank 13397
652,180,0,17,10 Mt. Ararat Baptist Church1509
652,278,2,22,5-6 Wildwood4405
652,285,1,28,7-29809
653,139,1,10,4 Surgoinsville Inside3826
654,157,0,13,5 Ten Mile6256
654,565,0,21,22 Agri Plex2763
655,216,4,5,3 Lake County Middle School4953
655,219,3,19,03-1 East Community Center4202
655,337,1,44,2B6478
656,139,0,12,6-3 Malesus Community Center5660
656,144,0,22,Mowbray3307
657,107,0,6,2-2 Friendship1101
658,1035,5,40,8-41840
659,146,0,17,505 Normandy Baptist Church0107
660,101,0,6,Sunbright 5-16656
661,298,1,20,04 First Baptist Church1504
663,172,2,8,8-5 Lesters Fire Station5663
664,194,0,14,07 Humboldt Park2755
666,98,0,22,5C8507
666,139,0,17,Keenburg0907
666,150,1,16,3B Campbellsville2856
667,113,2,12,Macon County Junior High School5554
667,160,1,10,Eastside0704
667,164,1,14,4-7 Big Ridge Elementary Sch.9005
668,124,0,21,07D Twin Oak7268
668,177,0,30,11 Freedonia Community Center1510
668,296,1,34,21 Wilson Avenue Church of Christ1521
669,92,3,11,1-1 Rutledge Middle School2953
669,203,3,12,5 Fairgrounds6855
671,121,1,8,Clarkrange2556
671,145,4,8,5 Rogersville South Inside3804
671,183,1,23,08-1 Fairview Community Center9211
672,117,0,10,9-13259
672,128,1,11,A - Bonicord2351
672,929,4,41,Memphis 95-78257
673,133,3,14,5-10 Sharps Chapel Elementary9009
673,142,2,11,4 Surgoinsville Outside3821
673,1449,10,54,Cordova 58078
674,177,1,30,South Clinton0025
674,316,2,11,5 Gallaway2463
676,118,0,12,South Greene3077
676,350,1,47,Walden3370
679,114,0,8,Crossroad2558
680,185,0,30,Newport Grammar School1406
680,486,3,56,20B6477
681,137,0,9,4B Odds Fellows Hall2858
682,125,1,7,3B Neva4703
683,305,2,15,G - Courthouse2362
684,242,0,29,6-7 South McEwen4406
684,261,2,21,09-1 Morrison Ruritan Club9214
684,314,2,18,2-3 WFCN4401
684,543,1,50,Lupton City3380
685,113,4,10,Lancing 4-16658
687,59,0,9,E - Lenox2360
687,244,1,29,Germantown 128095
688,94,1,12,2-1 Clouds1213
688,122,0,10,National Guard Armory5557
690,699,2,46,2-3 Tigrett School5672
691,134,1,12,Unaka0919
691,675,1,22,404 Union Elementary8610
692,108,1,9,Grimsley2562
692,117,1,17,5 Chapel Hill7853
693,124,0,11,11-1 Summertown5161
693,124,3,12,5 Doe Valley4705
693,135,2,20,Liberty5358
693,411,3,27,8-1 Senior Citizens2267
695,182,1,43,Lakesite3338
695,557,2,74,434857
696,159,1,23,7 City4707
698,270,0,81,Collegedale 13346
699,113,1,22,Big Springs0415
701,207,1,20,2-1 Loretto Civic Center5151
702,175,2,15,Chestnut Hill1703
702,969,10,62,5-2 LaVergne Middle School7660
703,160,3,17,Dyllis7457
704,100,1,11,4 Crump3710
704,140,2,13,Santa Fe5954
705,116,1,16,6 Choptack3813
706,330,0,24,5-1 East Chester School1105
706,2057,5,104,Memphis 018101
707,82,1,7,Macon County High School5553
709,487,3,79,424856
710,110,1,16,Tabor1721
710,162,1,18,2 Meigs South6251
712,110,1,13,Blanche5354
712,146,1,16,Eastside0910
712,466,2,66,294826
713,230,2,14,3 Church of God2153
714,144,0,10,3 Counce3714
715,168,0,29,04 Rock City8301
716,79,1,6,Willette Community Center5552
716,169,3,27,1-2 Cottage Grove4106
719,218,0,19,12-2 Greater Things Baptist Church2253
719,265,0,25,4-3 Courthouse2155
719,495,1,38,4-31819
722,196,1,28,Rally Hill5965
722,876,4,93,14-51867
723,217,1,11,05 Hillsboro Community Center1505
723,237,3,28,Court House3065
725,92,2,8,13 Jones Chapel Family Life6063
725,228,2,15,3 Benton Co. Courthouse0203
727,146,2,18,8-2 Old Swannsylvania School4611
728,583,6,57,334884
732,192,1,19,07 Forrest Mill Church of Christ Activity Center1507
733,248,3,21,Loudon Mt Zion5459
733,263,0,30,02 Tanglewood8308
734,111,0,5,1-2 Old Central Point School2952
735,1204,2,119,19-11890
737,238,1,42,12-1 White Bluff Community Center2254
739,141,1,15,Parrottsville1419
739,449,3,54,Northgate 23413
739,1211,6,49,Memphis 96-18259
740,574,2,70,West Hills0026
743,971,2,105,17-1 North Boulevard Church of Christ7686
744,436,2,16,801 Thomas School0110
745,142,2,10,Maranatha5359
747,166,5,29,Cave Creek7451
747,919,1,128,27-21927
748,606,5,84,Pine Valley0022
749,170,0,24,01 Defeated8303
750,376,1,57,Lookout Mountain3369
751,96,5,19,5-2 Senior Citizens Center2959
751,203,2,8,1A Ardmore2854
752,175,0,22,2D Shiloh Baptist Youth Center7157
754,244,2,33,1-3 Old Pinewood School9703
755,173,2,41,Dallas 23321
757,139,2,8,1 Waynesboro City9404
759,149,2,30,2-3 Milton Fire Station7652
759,173,1,17,12B Algood Outside7254
760,160,1,22,33 Telford9307
760,270,2,15,5 Benton Co. Courthouse0205
760,319,3,29,West Hills Elementary5856
761,291,1,43,1 Allandale Inside3824
761,405,1,36,05  Martin Church of Christ9508
762,1227,5,95,21-1 Hobgood Elementary School7695
763,332,4,23,38 Dyer2777
763,608,4,75,Glenwood0012
763,1524,6,76,8-31839
764,270,4,22,3-2 Vanleer Town Hall2259
765,158,0,15,2C South Polk School7156
765,187,1,20,8-3 Owens Chapel Fellowship Hall7563
765,552,1,57,354881
766,574,1,28,4-1 FAIR GROUNDS6762
766,592,2,26,South Pittsburg5764
767,182,0,14,Whitwell5766
767,1116,5,103,264809
768,316,5,29,Harriman Ward 17465
769,205,2,17,34 New Victory Church9316
769,931,7,80,96452
770,220,2,30,12-29817
772,178,0,15,"4-2 Bondecroft School, County9606"
772,281,4,12,2 Allons6852
772,284,2,15,H - E. Dyersburg2363
773,293,3,25,4-5 Safe Room4402
775,177,4,24,32 Cherokee Outside9301
776,208,3,24,South Harriman7464
777,153,1,19,3-1 Blaine City Hall2955
777,1189,8,101,18-1 Patterson Park Community Center7689
778,140,0,22,28 Cumberland Presbyterian Church2767
778,186,2,18,7-1 Lawrenceburg Public5157
778,262,4,25,03 Trinity Baptist Church1503
781,185,0,24,2-4 College Grove Community Center9708
782,94,1,10,5-4 HORNBEAK6754
782,247,4,13,4 Camden Elementary School0202
783,307,4,29,3-13254
784,265,1,18,2 Camden High School0201
787,138,1,5,6-1 Oneida7756
790,130,0,10,Ballplay Fire Dept6363
790,269,1,18,4-2 Cowan2657
792,106,1,11,Macon County Welcome Center5558
792,279,2,33,Clinton High0006
793,695,5,60,Memphis 68-18179
794,158,0,17,874817
794,213,1,42,102 Bell Buckle/Webb School0102
795,374,0,27,3-3 Jackson Center for Ind. Living5678
797,141,2,13,1-1 Fairview7754
797,153,2,23,Woodland0703
798,124,2,11,McDonald3054
799,132,0,16,Sale Creek3319
799,158,2,19,7 Cherokee3801
800,1661,4,44,9-31843
801,135,1,23,14 Bowmantown6309
801,384,1,34,18 Fairmont9323
803,170,0,17,Baileyton3067
803,309,3,16,07-1 Friendship The Baptist Church9210
804,129,1,12,7 St. Clair3816
804,131,0,16,9-23260
805,385,3,25,Riverside5967
806,117,0,17,13-1 West End5163
806,144,2,14,Jones Cove 17952
806,451,3,42,High School3061
807,161,0,17,6 Mooresburg3817
807,208,2,25,21 Bethel0809
809,245,2,30,North Clinton0019
811,410,5,45,824816
812,102,2,16,3-2 Indian Ridge Comm. Blg.2954
812,323,3,23,Lewisburg Gas Dept.5858
813,179,3,22,6-6 Paulette Elementary School9006
813,187,1,32,Fairview7469
813,1761,6,50,33-21949
816,336,3,52,10th Jefferson City Fire Dept4605
818,265,2,17,Eureka7467
819,123,1,32,604 Black Fox School0503
819,149,2,23,West Pines3076
819,251,1,13,6 Big Sandy School0206
819,866,2,69,12-41857
820,160,1,16,Mayland1714
821,122,0,12,4-1 Crossroads Fire Hall5152
821,176,2,21,12 North Coffee Elementary School1511
822,211,2,27,Harrison 53337
822,236,1,15,14 Hickerson Fire Hall1514
823,188,2,28,Powells Crossroads5760
825,308,5,33,25-29833
826,177,1,16,4A Lynnville2857
826,903,8,82,116456
828,289,3,71,Collegedale 43344
829,325,0,38,11B Cookeville High School7251
830,178,1,25,New Center 17955
830,220,1,20,1-1 Puryear4101
831,182,3,26,6-2 Mt. Sharon C.P. Church7556
831,334,4,36,Westview 33385
832,204,5,30,04-1 Lake Benson Camp4203
832,246,1,21,05 Gordonsville8304
833,736,2,95,15-21869
835,161,2,18,15-1 David Crockett5165
835,234,3,30,6-2 Porter Community Center2251
835,486,0,19,10 Rossville2455
836,168,4,27,Jacksboro0609
836,230,3,19,9 Huntingdon Police Station0807
836,255,0,48,Summit 33388
837,118,1,14,2-4 WOODLAND6753
837,445,1,34,701 Deery Eakin School0109
838,168,0,17,Hampshire5962
839,460,3,41,11-1 Tennsco Community Center2266
840,907,1,29,Forest Hills 18082
842,429,3,65,West End5958
844,244,1,11,9 Piperton2454
846,213,2,9,1 Holladay School0204
846,238,1,13,5A TCAT2859
847,212,5,23,12-19816
848,213,5,17,Tracy3156
848,230,2,32,4-3 Sycamore Middle School1008
849,186,0,7,Notchey Creek Fire Dept6359
849,199,2,18,804813
849,201,0,29,Homestead1711
849,784,3,77,Hendrix Creek0013
853,125,4,12,14 EK Baker School6059
854,168,0,24,2A Minor Hill2853
854,213,0,20,03 New Middleton8302
854,353,2,14,Halls 85063
855,176,0,27,Friendsville0416
857,622,1,72,East Ridge 23306
857,938,4,121,27-31928
859,172,0,23,Glendale5457
859,178,2,27,3-1 Ebenezer Baptist Church7560
859,237,1,27,7-8 CCC4407
859,249,2,35,High School8901
859,559,3,42,2-2 Aldersgate United Methodist Church5673
859,779,5,81,Oak Hills7458
860,1100,6,15,01 N. E. Covington8708
861,859,4,92,10-2 Liberty Elementary School9733
861,996,3,44,Memphis 95-68256
863,575,4,64,404806
864,184,5,28,15 Mountain View School6061
865,250,1,27,10 Pavilion7257
867,770,2,69,22-11903
867,1187,3,17,West Bolivar3604
869,213,6,29,1-1 Spring City North7351
869,412,2,37,9-19811
869,1237,3,41,10-41847
871,193,0,16,Culleoka5969
872,263,2,13,1B Chilhowee Middle Sch. Gym7153
873,814,2,64,34-41956
874,190,4,23,LaFollette Elementary School0607
876,167,1,21,Love Chapel8902
876,682,1,63,30 Grace Fellowship Church9317
877,734,5,53,10-31846
881,1125,4,107,24-Q4833
883,291,1,40,Miser Station0421
885,187,1,42,08 New Union Fire Hall1508
886,122,2,12,Centerview1403
886,193,0,26,603 Waterville School0513
886,200,3,18,08F Cornerstone Middle7269
889,363,7,22,Broad Street School6352
891,105,0,11,D - Millsfield2358
893,146,1,27,1-1 Union County High School9003
896,323,3,19,6-1 South Side High School5682
897,135,0,24,Woody1724
897,301,1,38,764818
897,323,3,28,15 Grace Baptist Church1515
898,377,2,36,Rockford0406
898,757,1,16,1 Somerville2465
899,210,1,35,564890
901,401,1,25,06-1 Justice Center4209
901,891,0,102,26-21923
904,217,3,21,04A Burks Middle School7262
905,179,3,19,Court House0906
905,851,3,80,106454
906,191,1,40,Orchard View7459
907,133,1,14,Edwina1409
